State,Year,Week,Cases,Percent
Ohio,2018,1,470,0.0569939
Oklahoma,2018,1,517,0.0626933
Oregon,2018,1,1875,0.2273692
Pennsylvania,2018,1,1703,0.2065119
Rhode Island,2018,1,71,0.0086097
South Carolina,2018,1,340,0.0412296
South Dakota,2018,1,295,0.0357728
Tennessee,2018,1,312,0.0378342
Texas,2018,1,3427,0.4155702
Utah,2018,1,237,0.0287395
Vermont,2018,1,130,0.0157643
Virginia,2018,1,3803,0.4611653
Washington,2018,1,267,0.0323774
West Virginia,2018,1,457,0.0554174
Wisconsin,2018,1,159,0.0192809
Wyoming,2018,1,239,0.028982
Alabama,2018,2,4829,0.5855818
Alaska,2018,2,208,0.0252228
Arizona,2018,2,924,0.1120475
Arkansas,2018,2,474,0.0574789
California,2018,2,2355,0.2855757
Colorado,2018,2,686,0.0831868
Connecticut,2018,2,95,0.01152
Delaware,2018,2,24,0.0029103
District of Columbia,2018,2,394,0.0477778
Florida,2018,2,0,0
Georgia,2018,2,4731,0.5736979
Hawaii,2018,2,101,0.0122476
Idaho,2018,2,60,0.0072758
Illinois,2018,2,2465,0.2989147
Indiana,2018,2,318,0.0385618
Iowa,2018,2,116,0.0140666
Kansas,2018,2,608,0.0737282
Kentucky,2018,2,1111,0.1347238
Louisiana,2018,2,5572,0.6756806
Maine,2018,2,25,0.0030316
Maryland,2018,2,288,0.0349239
Massachusetts,2018,2,819,0.0993149
Michigan,2018,2,1105,0.1339962
Minnesota,2018,2,321,0.0389256
Mississippi,2018,2,1996,0.2420421
Missouri,2018,2,271,0.0328624
Montana,2018,2,21,0.0025465
Nebraska,2018,2,316,0.0383193
Nevada,2018,2,547,0.0663312
New Hampshire,2018,2,52,0.0063057
New Jersey,2018,2,1165,0.1412721
New Mexico,2018,2,986,0.1195659
New York,2018,2,648,0.0785788
North Carolina,2018,2,602,0.0730007
North Dakota,2018,2,64,0.0077609
Ohio,2018,2,615,0.0745771
Oklahoma,2018,2,767,0.0930092
Oregon,2018,2,1954,0.236949
Pennsylvania,2018,2,1711,0.207482
Rhode Island,2018,2,135,0.0163706
South Carolina,2018,2,497,0.060268
South Dakota,2018,2,368,0.044625
Tennessee,2018,2,524,0.0635421
Texas,2018,2,4048,0.4908749
Utah,2018,2,282,0.0341963
